entry_time,exit_time,type,signal,entry_spot,strike,opt_type,itm_depth,entry_premium,exit_premium,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,qty,equity_at_entry
2024-08-23 14:10:00,2024-08-23 15:15:00,BUY_CE,BULLISH,24831.25,24800,CE,1,524.0,493.8,-19629.999999999993,656.53452138,-20286.534521379992,IntradayExit,2024-10-03,0,False,650,400000
2024-08-26 11:45:00,2024-08-26 12:25:00,BUY_CE,BULLISH,25002.8,24950,CE,1,526.0,526.0,0.0,686.8497692,-686.8497692,Reversal,2024-10-03,0,False,650,379713
2024-08-26 14:35:00,2024-08-26 15:15:00,BUY_CE,BULLISH,25028.35,25000,CE,1,505.75,508.8,1982.5000000000073,665.040479555,1317.4595204450072,IntradayExit,2024-10-03,0,False,650,379027
2024-08-27 14:40:00,2024-08-27 15:15:00,BUY_PE,BEARISH,25042.25,25100,PE,1,332.5,332.5,0.0,451.54134650000003,-451.54134650000003,IntradayExit,2024-10-03,0,False,650,380344
2024-08-28 15:05:00,2024-08-28 15:15:00,BUY_PE,BEARISH,25059.7,25100,PE,1,333.0,333.0,0.0,452.14937860000003,-452.14937860000003,IntradayExit,2024-10-03,0,False,650,379893
2024-08-29 12:55:00,2024-08-29 13:25:00,BUY_CE,BULLISH,25138.15,25100,CE,1,498.9,498.9,0.0,653.89442938,-653.89442938,Reversal,2024-10-03,0,False,650,379440
2024-08-29 13:30:00,2024-08-29 14:55:00,BUY_PE,BEARISH,25129.55,25200,PE,1,323.6,370.0,30159.999999999985,483.55866456,29676.441335439984,Reversal,2024-10-03,0,False,650,378786
2024-08-29 15:00:00,2024-08-29 15:15:00,BUY_CE,BULLISH,25181.35,25150,CE,1,400.2,400.2,0.0,533.8688928400001,-533.8688928400001,IntradayExit,2024-10-03,0,False,650,408463
2024-08-30 13:20:00,2024-08-30 13:50:00,BUY_PE,BEARISH,25246.35,25300,PE,1,336.0,341.2,3379.9999999999927,460.59863812000003,2919.4013618799927,Reversal,2024-10-03,0,False,650,407929
2024-08-30 13:55:00,2024-08-30 15:05:00,BUY_CE,BULLISH,25238.1,25200,CE,1,470.4,469.0,-909.9999999999852,617.9440047400001,-1527.9440047399853,Reversal,2024-10-03,0,False,650,410848
2024-08-30 15:10:00,2024-08-30 15:15:00,BUY_PE,BEARISH,25242.4,25300,PE,1,311.05,311.05,0.0,425.45676941,-425.45676941,IntradayExit,2024-10-03,0,False,650,409321
2024-09-02 09:35:00,2024-09-02 12:10:00,BUY_CE,BULLISH,25301.05,25250,CE,1,467.35,462.2,-3347.5000000000223,610.7727010550001,-3958.2727010550225,Reversal,2024-10-03,0,False,650,408895
2024-09-02 13:45:00,2024-09-02 15:10:00,BUY_CE,BULLISH,25258.4,25200,CE,1,461.9,468.3,4160.000000000022,614.8090594200002,3545.1909405800216,Reversal,2024-10-03,0,False,650,404937
2024-09-03 12:05:00,2024-09-03 14:05:00,BUY_CE,BULLISH,25259.2,25200,CE,1,468.0,479.05,7182.500000000007,626.5203128049999,6555.9796871950075,Reversal,2024-10-03,0,False,650,408482
