bar,dir,trigger,outcome
2022-01-21 11:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17550 exp=2024-10-03
2022-01-21 14:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17700 exp=2024-10-03
2022-01-24 10:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17500 exp=2024-10-03
2022-01-24 15:00:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-01-25 09:45:00,BEARISH,PendingFlip,FAIL:no_contract PE 17150 exp=2024-10-03
2022-01-25 11:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17050 exp=2024-10-03
2022-01-25 12:15:00,BEARISH,PendingFlip,FAIL:no_contract PE 17150 exp=2024-10-03
2022-01-25 13:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-01-27 09:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 17050 exp=2024-10-03
2022-01-27 13:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 16950 exp=2024-10-03
2022-01-28 09:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17300 exp=2024-10-03
2022-01-28 09:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 17300 exp=2024-10-03
2022-01-28 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 17250 exp=2024-10-03
2022-01-28 11:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17300 exp=2024-10-03
2022-01-28 13:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 17400 exp=2024-10-03
2022-03-02 12:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 16550 exp=2024-10-03
2022-03-02 13:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-03-02 13:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
2022-03-02 15:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 16600 exp=2024-10-03
2022-03-03 11:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 16600 exp=2024-10-03
2022-03-03 12:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 16650 exp=2024-10-03
2022-03-03 14:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 16450 exp=2024-10-03
2022-03-03 14:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
2022-03-04 11:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 16200 exp=2024-10-03
2022-03-04 14:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 16400 exp=2024-10-03
2022-03-07 10:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 15900 exp=2024-10-03
2022-03-07 11:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 15850 exp=2024-10-03
2022-03-07 12:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 16000 exp=2024-10-03
2022-03-07 15:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 15800 exp=2024-10-03
2022-03-08 09:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 15900 exp=2024-10-03
2022-03-08 11:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 15850 exp=2024-10-03
2022-03-08 13:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 15700 exp=2024-10-03
2022-03-09 11:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 16200 exp=2024-10-03
2022-03-09 12:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 16150 exp=2024-10-03
2022-03-09 14:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 16350 exp=2024-10-03
2022-03-10 09:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 16550 exp=2024-10-03
2022-03-10 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 16600 exp=2024-10-03
2022-03-10 11:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 16800 exp=2024-10-03
2022-03-10 14:55:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-03-11 11:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 16600 exp=2024-10-03
2022-03-11 13:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 16650 exp=2024-10-03
2022-03-11 14:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 16550 exp=2024-10-03
2022-03-14 12:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 16800 exp=2024-10-03
2022-03-14 13:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 16750 exp=2024-10-03
2022-03-15 11:15:00,BEARISH,PendingFlip,FAIL:no_contract PE 16900 exp=2024-10-03
2022-03-15 12:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 16800 exp=2024-10-03
2022-03-15 12:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 16800 exp=2024-10-03
2022-03-15 15:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 16600 exp=2024-10-03
2022-03-16 11:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 16850 exp=2024-10-03
2022-03-16 12:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 16950 exp=2024-10-03
2022-03-16 13:35:00,BEARISH,PendingFlip,FAIL:no_contract PE 16950 exp=2024-10-03
