entry_time,exit_time,type,signal,entry_spot,strike,opt_type,itm_depth,entry_premium,exit_premium,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,qty,equity_at_entry
2024-09-06 10:40:00,2024-09-06 10:45:00,BUY_PE,BEARISH,24919.15,24950,PE,1,254.0,254.0,0.0,82.84003539999999,-82.84003539999999,Reversal,2024-10-03,0,False,75,200000
2024-09-06 11:05:00,2024-09-06 11:20:00,BUY_PE,BEARISH,24876.65,24950,PE,1,254.0,254.0,0.0,82.84003539999999,-82.84003539999999,Reversal,2024-10-03,0,False,75,199917
2024-09-13 10:50:00,2024-09-13 11:40:00,BUY_PE,BEARISH,25362.9,25400,PE,1,271.85,267.89,-297.00000000000273,84.922791037,-381.92279103700275,Reversal,2024-10-03,0,False,75,199834
2024-09-13 11:50:00,2024-09-13 12:10:00,BUY_PE,BEARISH,25369.4,25400,PE,1,268.45,262.39,-454.50000000000017,84.22200134199998,-538.7220013420001,Reversal,2024-10-03,0,False,75,199452
2024-09-13 13:00:00,2024-09-13 13:40:00,BUY_PE,BEARISH,25385.25,25450,PE,1,279.05,291.05,900.0,87.63331925499999,812.366680745,Reversal,2024-10-03,0,False,75,198914
2024-09-13 14:10:00,2024-09-13 14:45:00,BUY_PE,BEARISH,25385.5,25450,PE,1,278.55,285.0,483.74999999999915,86.9719060525,396.77809394749914,Reversal,2024-10-03,0,False,75,199726
2024-09-16 13:55:00,2024-09-16 14:30:00,BUY_PE,BEARISH,25404.95,25450,PE,1,230.0,239.0,675.0,80.43126594999998,594.56873405,Reversal,2024-10-03,0,False,75,200123
2024-09-17 11:10:00,2024-09-17 11:20:00,BUY_PE,BEARISH,25401.4,25450,PE,1,240.0,234.5,-412.5,80.28969497500002,-492.78969497500003,Reversal,2024-10-03,0,False,75,200717
2024-09-17 11:35:00,2024-09-17 11:50:00,BUY_PE,BEARISH,25417.1,25450,PE,1,229.55,235.4,438.74999999999955,80.03254662249999,358.71745337749957,Reversal,2024-10-03,0,False,75,200225
2024-09-17 13:00:00,2024-09-17 13:05:00,BUY_PE,BEARISH,25430.05,25500,PE,1,251.6,247.95,-273.75000000000045,82.1144353525,-355.86443535250044,Reversal,2024-10-03,0,False,75,200583
2024-09-17 13:10:00,2024-09-17 13:55:00,BUY_CE,BULLISH,25425.7,25400,CE,1,299.7,302.5,210.00000000000085,89.55072660999998,120.44927339000087,Reversal,2024-10-03,0,False,75,200227
2024-09-17 14:00:00,2024-09-17 14:05:00,BUY_PE,BEARISH,25428.4,25500,PE,1,246.15,246.1,-3.7500000000008527,81.7332352375,-85.48323523750085,Reversal,2024-10-03,0,False,75,200348
2024-09-17 14:10:00,2024-09-17 14:20:00,BUY_PE,BEARISH,25426.2,25500,PE,1,244.75,243.4,-101.24999999999957,81.3983017825,-182.64830178249957,Reversal,2024-10-03,0,False,75,200262
2024-09-18 10:55:00,2024-09-18 11:10:00,BUY_PE,BEARISH,25463.55,25500,PE,1,238.05,241.6,266.24999999999875,80.98020010750001,185.26979989249872,Reversal,2024-10-03,0,False,75,200080
2024-09-18 11:25:00,2024-09-18 11:35:00,BUY_PE,BEARISH,25457.1,25500,PE,1,243.95,241.55,-179.9999999999983,81.174190525,-261.17419052499827,Reversal,2024-10-03,0,False,75,200265
2024-09-18 14:00:00,2024-09-18 14:20:00,BUY_PE,BEARISH,25339.0,25400,PE,1,267.1,260.05,-528.7500000000009,83.9271087325,-612.6771087325009,Reversal,2024-10-03,0,False,75,200004
2024-09-19 11:00:00,2024-09-19 11:50:00,BUY_PE,BEARISH,25508.75,25550,PE,1,202.85,263.14,4521.749999999999,82.0857654745,4439.6642345254995,Reversal,2024-10-03,0,False,75,199391
2024-09-20 10:30:00,2024-09-20 10:55:00,BUY_CE,BULLISH,25583.25,25550,CE,1,244.6,296.85,3918.7500000000023,87.0873991975,3831.6626008025023,Reversal,2024-10-03,0,False,75,203831
2024-09-20 11:00:00,2024-09-20 11:15:00,BUY_PE,BEARISH,25643.75,25700,PE,1,222.3,209.35,-971.2500000000013,77.0124502075,-1048.2624502075012,Reversal,2024-10-03,0,False,75,207663
2024-09-20 11:20:00,2024-09-20 11:30:00,BUY_CE,BULLISH,25695.55,25650,CE,1,263.5,262.45,-78.75000000000085,84.06116967250001,-162.81116967250085,Reversal,2024-10-03,0,False,75,206614
2024-09-20 11:35:00,2024-09-20 11:45:00,BUY_PE,BEARISH,25667.7,25700,PE,1,209.35,211.25,142.50000000000043,76.77737802999998,65.72262197000045,Reversal,2024-10-03,0,False,75,206451
2024-09-20 11:50:00,2024-09-20 12:00:00,BUY_CE,BULLISH,25712.4,25650,CE,1,286.05,265.95,-1507.5000000000018,85.19583010000001,-1592.6958301000018,Reversal,2024-10-03,0,False,75,206517
2024-09-20 13:15:00,2024-09-20 13:30:00,BUY_CE,BULLISH,25796.2,25750,CE,1,250.0,210.3,-2977.499999999999,78.04943276499999,-3055.549432764999,Reversal,2024-10-03,0,False,75,204924
2024-09-20 13:35:00,2024-09-20 13:45:00,BUY_PE,BEARISH,25572.6,25600,PE,1,184.2,202.4,1365.0000000000014,74.98493382999999,1290.0150661700013,Reversal,2024-10-03,0,False,75,201869
2024-09-20 13:50:00,2024-09-20 14:05:00,BUY_CE,BULLISH,25718.55,25650,CE,1,213.0,227.8,1110.000000000001,78.66379804,1031.3362019600008,Reversal,2024-10-03,0,False,75,203159
2024-09-20 14:10:00,2024-09-20 14:25:00,BUY_CE,BULLISH,25674.9,25600,CE,1,255.0,283.39,2129.249999999999,86.0048095945,2043.245190405499,Reversal,2024-10-03,0,False,75,204190
2024-09-23 10:50:00,2024-09-23 11:10:00,BUY_CE,BULLISH,25886.0,25850,CE,1,244.45,250.5,453.75000000000085,82.1445481225,371.60545187750085,Reversal,2024-10-03,0,False,75,206234
