bar,dir,trigger,outcome
2022-07-15 09:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 15950 exp=2024-10-03
2022-07-15 09:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 15950 exp=2024-10-03
2022-07-15 09:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 15950 exp=2024-10-03
2022-07-15 09:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 15950 exp=2024-10-03
2022-07-15 09:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 15950 exp=2024-10-03
2022-07-15 09:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 15950 exp=2024-10-03
2022-07-15 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 15950 exp=2024-10-03
2022-07-15 10:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 15950 exp=2024-10-03
2022-07-15 10:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 16000 exp=2024-10-03
2022-07-15 10:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 15950 exp=2024-10-03
2022-07-15 10:45:00,BEARISH,PendingFlip,FAIL:no_contract PE 16000 exp=2024-10-03
2022-07-15 11:20:00,BULLISH,Signal,SKIP:ADX_low 17.1<20
2022-07-15 11:55:00,BEARISH,Signal,SKIP:ADX_low 15.2<20
2022-07-15 12:20:00,BULLISH,Signal,SKIP:ADX_low 13.7<20
2022-07-15 12:25:00,BEARISH,Signal,SKIP:ADX_low 14.2<20
2022-07-15 12:35:00,BULLISH,Signal,SKIP:ADX_low 14.1<20
2022-07-15 12:50:00,BULLISH,Signal,SKIP:ADX_low 12.7<20
2022-07-15 13:25:00,BEARISH,Signal,SKIP:ADX_low 11.2<20
2022-07-15 13:40:00,BULLISH,Signal,SKIP:ADX_low 10.6<20
2022-07-15 13:55:00,BULLISH,Signal,SKIP:ADX_low 10.1<20
2022-07-15 14:05:00,BEARISH,Signal,SKIP:ADX_low 9.0<20
2022-07-15 14:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 16050 exp=2024-10-03
2022-07-15 15:00:00,BULLISH,PendingFlip,FAIL:no_contract CE 16000 exp=2024-10-03
2022-07-15 15:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 16100 exp=2024-10-03
2022-07-15 15:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 16000 exp=2024-10-03
2022-07-18 09:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 16200 exp=2024-10-03
2022-07-18 09:45:00,BEARISH,PendingFlip,FAIL:no_contract PE 16200 exp=2024-10-03
2022-07-18 09:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 16100 exp=2024-10-03
2022-07-18 10:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 16150 exp=2024-10-03
2022-07-18 10:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 16250 exp=2024-10-03
2022-07-18 10:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 16150 exp=2024-10-03
2022-07-18 10:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 16250 exp=2024-10-03
2022-07-18 10:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 16150 exp=2024-10-03
2022-07-18 11:15:00,BEARISH,PendingFlip,FAIL:no_contract PE 16250 exp=2024-10-03
2022-07-18 11:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 16250 exp=2024-10-03
2022-07-18 12:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 16250 exp=2024-10-03
2022-07-18 12:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 16150 exp=2024-10-03
2022-07-18 12:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 16250 exp=2024-10-03
2022-07-18 12:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 16150 exp=2024-10-03
2022-07-18 13:00:00,BULLISH,PendingFlip,FAIL:no_contract CE 16150 exp=2024-10-03
2022-07-18 13:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 16250 exp=2024-10-03
2022-07-18 13:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 16150 exp=2024-10-03
2022-07-18 14:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 16300 exp=2024-10-03
2022-07-18 14:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 16200 exp=2024-10-03
2022-07-18 14:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 16200 exp=2024-10-03
2022-07-18 15:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 16250 exp=2024-10-03
2022-07-18 15:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 16350 exp=2024-10-03
2022-07-19 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 16200 exp=2024-10-03
2022-07-19 10:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 16350 exp=2024-10-03
2022-07-19 10:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 16350 exp=2024-10-03
2022-07-19 10:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 16250 exp=2024-10-03
2022-07-19 11:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 16350 exp=2024-10-03
2022-07-19 11:55:00,BULLISH,PendingFlip,FAIL:no_contract CE 16250 exp=2024-10-03
2022-07-19 12:40:00,BULLISH,Signal,SKIP:ADX_low 16.2<20
2022-07-19 12:45:00,BEARISH,Signal,SKIP:ADX_low 15.9<20
2022-07-19 13:25:00,BULLISH,Signal,SKIP:ADX_low 19.0<20
2022-07-19 13:50:00,BEARISH,Signal,SKIP:ADX_low 18.1<20
2022-07-19 14:15:00,BEARISH,Signal,SKIP:ADX_low 15.3<20
2022-07-19 14:25:00,BULLISH,Signal,SKIP:ADX_low 15.0<20
2022-07-19 15:20:00,BEARISH,Signal,SKIP:ADX_low 16.8<20
2022-07-19 15:25:00,BULLISH,Signal,SKIP:ADX_low 15.6<20
2022-07-20 09:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 16550 exp=2024-10-03
2022-07-20 10:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-07-20 10:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
2022-07-20 10:45:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
2022-07-20 11:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
2022-07-20 11:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-07-20 12:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-07-20 12:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 16550 exp=2024-10-03
2022-07-20 12:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 16650 exp=2024-10-03
2022-07-20 13:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-07-20 13:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
2022-07-20 14:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-07-20 14:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
2022-07-20 14:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-07-20 14:45:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
2022-07-20 14:55:00,BULLISH,PendingFlip,FAIL:no_contract CE 16450 exp=2024-10-03
2022-07-20 15:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 16550 exp=2024-10-03
2022-07-21 09:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 16450 exp=2024-10-03
2022-07-21 09:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 16450 exp=2024-10-03
2022-07-21 09:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 16450 exp=2024-10-03
2022-07-21 09:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-07-21 09:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 16500 exp=2024-10-03
2022-07-21 09:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 16600 exp=2024-10-03
