entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,qty,equity_at_entry,margin_at_entry,margin_req,elm_component,margin_util_pct
2024-08-26 11:45:00,2024-08-26 12:25:00,BULL_PUT,25002.8,25000,24500,310.0,173.05,322.35,169.75,136.95,152.60000000000002,-15.650000000000034,-3051.750000000007,333.6549019445,-3385.404901944507,Reversal,2024-10-03,0,False,False,195,400000,70841,77925,0,17.7
2024-08-27 10:30:00,2024-08-27 10:45:00,BULL_PUT,24998.35,25000,24500,304.0,171.0,306.85,169.95,133.0,136.90000000000003,-3.900000000000034,-760.5000000000066,327.484393334,-1087.9843933340067,Reversal,2024-10-03,0,False,False,195,396615,70829,77912,0,17.9
2024-08-28 10:25:00,2024-08-28 12:35:00,BULL_PUT,25010.35,25000,24500,309.0,163.0,273.8,145.35,146.0,128.45000000000002,17.549999999999983,3422.249999999997,312.0051330245,3110.2448669754967,Reversal,2024-10-03,0,False,False,195,395527,70863,77949,0,17.9
2024-08-30 10:15:00,2024-08-30 13:50:00,BEAR_CALL,25205.5,25200,25700,461.8,195.0,470.4,205.25,266.8,265.15,1.650000000000034,321.75000000000665,429.3357602435,-107.58576024349333,Reversal,2024-10-03,0,False,False,195,398637,71416,78557,0,17.9
2024-09-02 10:05:00,2024-09-02 10:55:00,BEAR_CALL,25299.4,25300,25800,422.45,185.45,419.0,173.3,237.0,245.7,-8.699999999999989,-1696.4999999999977,394.210235426,-2090.710235425998,Reversal,2024-10-03,0,False,False,195,398529,71682,78850,0,18.0
2024-09-02 11:00:00,2024-09-02 12:10:00,BULL_PUT,25312.75,25300,24800,311.75,166.0,322.0,167.85,145.75,154.15,-8.400000000000006,-1638.0000000000011,332.89512798799996,-1970.8951279880011,Reversal,2024-10-03,0,False,False,195,396439,71719,78891,0,18.1
2024-09-02 12:15:00,2024-09-02 13:45:00,BEAR_CALL,25293.15,25300,25800,420.05,173.9,390.45,160.75,246.15,229.7,16.450000000000017,3207.750000000003,380.97989654450004,2826.770103455503,Reversal,2024-10-03,0,False,False,195,394468,71664,78830,0,18.2
2024-09-02 15:10:00,2024-09-03 10:15:00,BEAR_CALL,25280.1,25300,25800,406.35,170.0,470.0,165.9,236.35000000000002,304.1,-67.75,-13211.25,400.76861771750004,-13612.0186177175,MaxLoss,2024-10-03,1,True,False,195,397294,71627,78790,0,18.0
2024-09-03 14:45:00,2024-09-04 09:30:00,BULL_PUT,25291.5,25300,24800,318.0,163.8,390.5,216.95,154.2,173.55,-19.350000000000023,-3773.2500000000045,367.40716322750006,-4140.6571632275045,Reversal,2024-10-03,1,True,False,195,383682,71659,78825,0,18.7
2024-09-04 10:05:00,2024-09-04 11:00:00,BULL_PUT,25136.75,25150,24650,333.2,176.3,311.25,176.3,156.89999999999998,134.95,21.94999999999999,4280.249999999998,339.04119284150005,3941.208807158498,Reversal,2024-10-03,0,False,False,195,379542,71221,78343,0,18.8
2024-09-04 13:20:00,2024-09-04 14:10:00,BULL_PUT,25178.9,25200,24700,348.0,186.85,335.2,186.85,161.15,148.35,12.800000000000011,2496.0000000000023,353.76329794699996,2142.2367020530023,Reversal,2024-10-03,0,False,False,195,383483,71340,78474,0,18.6
2024-09-04 15:10:00,2024-09-05 10:05:00,BULL_PUT,25210.1,25200,24700,345.6,184.4,311.14,167.75,161.20000000000002,143.39,17.81000000000003,3472.950000000006,340.7879323607,3132.1620676393063,Reversal,2024-10-03,1,True,False,195,385625,71429,78571,0,18.5
2024-09-05 10:10:00,2024-09-05 11:25:00,BEAR_CALL,25207.0,25200,25700,424.05,175.0,421.05,173.75,249.05,247.3,1.75,341.25,394.43999302550003,-53.18999302550003,Reversal,2024-10-03,0,False,False,195,388757,71420,78562,0,18.4
2024-09-05 11:30:00,2024-09-05 12:10:00,BULL_PUT,25182.15,25200,24700,325.5,167.75,318.0,170.0,157.75,148.0,9.75,1901.25,336.3215556875,1564.9284443125,Reversal,2024-10-03,0,False,False,195,388704,71349,78484,0,18.4
2024-09-05 12:15:00,2024-09-05 12:45:00,BEAR_CALL,25187.05,25200,25700,416.25,173.75,416.25,165.85,242.5,250.4,-7.900000000000006,-1540.5000000000011,388.62393482299996,-1929.123934823001,Reversal,2024-10-03,0,False,False,195,390269,71363,78500,0,18.3
2024-09-05 12:50:00,2024-09-05 13:45:00,BULL_PUT,25181.35,25200,24700,318.0,163.1,324.64,163.1,154.9,161.54,-6.639999999999986,-1294.7999999999975,333.8025679292,-1628.6025679291974,Reversal,2024-10-03,0,False,False,195,388340,71347,78482,0,18.4
2024-09-06 12:00:00,2024-09-06 13:10:00,BULL_PUT,24924.75,24900,24400,319.85,171.05,355.85,194.25,148.8,161.60000000000002,-12.800000000000011,-2496.0000000000023,352.46861483,-2848.4686148300025,Reversal,2024-10-03,0,False,False,195,386711,70620,77682,0,18.3
