entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,qty,equity_at_entry,margin_at_entry,margin_req,elm_component,margin_util_pct
2024-08-29 14:50:00,2024-09-02 09:30:00,BULL_PUT,25119.55,25100,24600,325.39,160.55,234.95,160.55,164.83999999999997,74.39999999999998,90.44,29393.0,452.9862621120001,28940.013737888,Target,2024-10-03,4,True,False,325,500000,71172,78289,0,14.2
2024-09-04 13:15:00,2024-09-05 10:20:00,BULL_PUT,25175.8,25200,24700,348.0,186.85,316.35,167.75,161.15,148.60000000000002,12.549999999999983,4078.7499999999945,508.96909789750003,3569.7809021024946,Reversal,2024-10-03,1,True,False,325,528940,71331,78465,0,13.5
2024-09-05 10:25:00,2024-09-06 10:10:00,BEAR_CALL,25175.5,25200,25700,420.5,171.4,275.0,163.0,249.1,112.0,137.1,44557.5,518.4915173950001,44039.008482605,Target,2024-10-03,1,True,False,325,532510,71331,78464,0,13.4
2024-09-06 10:10:00,2024-09-06 12:20:00,BEAR_CALL,24921.1,24900,25400,453.65,201.15,449.85,191.5,252.49999999999997,258.35,-5.850000000000051,-1901.2500000000166,633.7295469575001,-2534.9795469575165,Reversal,2024-10-03,0,False,False,325,576549,70610,77671,0,12.2
2024-09-06 12:25:00,2024-09-06 12:55:00,BULL_PUT,24948.6,24950,24450,355.2,175.5,355.2,175.5,179.7,179.7,0.0,0.0,532.5226354700001,-532.5226354700001,Reversal,2024-10-03,0,False,False,325,574014,70688,77756,0,12.3
2024-09-06 13:00:00,2024-09-09 09:45:00,BEAR_CALL,24860.0,24850,25350,442.0,206.0,413.3,195.0,236.0,218.3,17.69999999999999,5752.499999999996,613.4478261150001,5139.052173884997,Reversal,2024-10-03,3,True,False,325,573481,70437,77480,0,12.3
2024-09-10 09:50:00,2024-09-10 11:15:00,BEAR_CALL,24913.05,24900,25400,400.0,163.4,404.75,169.85,236.6,234.9,1.6999999999999886,552.4999999999964,572.1819774,-19.68197740000369,Reversal,2024-10-03,0,False,False,325,578620,70587,77646,0,12.2
2024-09-10 11:20:00,2024-09-10 15:00:00,BULL_PUT,24981.85,25000,24500,304.8,144.0,278.55,126.1,160.8,152.45000000000002,8.349999999999994,2713.749999999998,445.7074166224999,2268.0425833774984,Reversal,2024-10-03,0,False,False,325,578601,70782,77860,0,12.2
2024-09-11 10:15:00,2024-09-11 13:40:00,BULL_PUT,25066.5,25050,24550,282.3,131.9,269.2,131.9,150.4,137.29999999999998,13.100000000000023,4257.500000000007,431.81917306500003,3825.680826935007,Reversal,2024-10-03,0,False,False,325,580869,71022,78124,0,12.2
2024-09-11 13:45:00,2024-09-12 09:15:00,BEAR_CALL,25023.5,25000,25500,363.45,129.0,365.0,130.05,234.45,234.95,-0.5,-162.5,513.162036875,-675.662036875,Reversal,2024-10-03,1,True,False,325,584694,70900,77990,0,12.1
2024-09-12 09:35:00,2024-09-12 11:25:00,BULL_PUT,25009.95,25000,24500,245.05,104.0,256.6,120.0,141.05,136.60000000000002,4.449999999999989,1446.2499999999964,399.10567793250004,1047.1443220674964,Reversal,2024-10-03,0,False,False,325,584019,70862,77948,0,12.1
2024-09-12 11:30:00,2024-09-12 14:00:00,BEAR_CALL,24984.45,25000,25500,336.55,121.15,362.0,122.3,215.4,239.7,-24.299999999999983,-7897.4999999999945,494.60283160000006,-8392.102831599994,Reversal,2024-10-03,0,False,False,325,585066,70789,77868,0,12.1
2024-09-12 14:05:00,2024-09-16 12:10:00,BULL_PUT,25204.95,25200,24700,279.0,117.65,177.0,67.75,161.35,109.25,52.099999999999994,16932.499999999996,355.13315697,16577.366843029995,Reversal,2024-10-03,4,True,False,325,576674,71414,78555,0,12.4
2024-09-16 13:45:00,2024-09-18 13:00:00,BULL_PUT,25418.1,25400,24900,211.0,80.0,213.7,87.3,131.0,126.39999999999999,4.6000000000000085,1495.0000000000027,344.55507660000006,1150.4449234000026,Reversal,2024-10-03,2,True,False,325,593251,72018,79220,0,12.1
2024-09-18 13:05:00,2024-09-18 15:00:00,BEAR_CALL,25402.4,25400,25900,282.0,75.25,280.25,76.84,206.75,203.41,3.3400000000000034,1085.5000000000011,403.178542657,682.3214573430012,Reversal,2024-10-03,0,False,False,325,594402,71973,79171,0,12.1
