entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry
2024-10-01 09:15:00,2024-10-01 10:15:00,BULL_PUT,25897.35,25900,25400,105.0,9.4,127.75,9.44,95.6,118.31,-22.710000000000008,-7380.750000000003,167.3077342695,-7548.057734269502,Reversal,2024-10-03,0,False,False
2024-10-01 10:15:00,2024-10-01 12:15:00,BEAR_CALL,25801.1,25800,26300,116.0,6.45,123.1,5.75,109.55,117.35,-7.799999999999997,-2534.999999999999,169.56975836499998,-2704.569758364999,Reversal,2024-10-03,0,False,False
2024-10-01 12:15:00,2024-10-03 09:15:00,BULL_PUT,25836.8,25850,25350,88.1,5.75,300.95,33.6,82.35,267.34999999999997,-184.99999999999997,-60124.99999999999,195.47985082000002,-60320.47985081999,Reversal,2024-10-03,2,True,False
2024-10-03 09:15:00,2024-10-03 09:45:00,BEAR_CALL,25530.45,25550,26050,227.9,34.54,266.0,47.7,193.36,218.3,-24.939999999999998,-8105.499999999999,265.624639547,-8371.124639546999,Reversal,2024-10-10,0,False,True
2024-10-03 09:45:00,2024-10-03 10:10:00,BULL_PUT,25619.4,25600,25100,134.5,33.95,167.75,42.0,100.55,125.75,-25.200000000000003,-8190.000000000001,205.40672011,-8395.40672011,Reversal,2024-10-10,0,False,True
2024-10-03 10:10:00,2024-10-04 09:50:00,BEAR_CALL,25528.9,25550,26050,207.0,30.95,74.9,10.4,176.05,64.5,111.55000000000001,36253.75000000001,210.2562569125,36043.49374308751,Reversal,2024-10-10,1,True,True
2024-10-04 09:50:00,2024-10-04 12:35:00,BULL_PUT,25243.95,25250,24750,156.35,50.15,115.9,38.95,106.19999999999999,76.95,29.249999999999986,9506.249999999995,208.86673091749998,9297.383269082495,Reversal,2024-10-10,0,False,False
2024-10-04 12:35:00,2024-10-07 14:45:00,BEAR_CALL,25291.45,25300,25800,276.25,51.15,36.65,6.35,225.1,30.299999999999997,194.8,63310.00000000001,237.71289492000002,63072.28710508001,Reversal,2024-10-10,3,True,False
2024-10-07 14:45:00,2024-10-09 13:15:00,BULL_PUT,24879.95,24900,24400,219.5,59.1,30.2,3.4,160.4,26.8,133.6,43420.0,210.37251081,43209.62748919,Reversal,2024-10-10,2,True,False
2024-10-09 13:15:00,2024-10-10 10:05:00,BEAR_CALL,25093.1,25100,25600,101.75,3.8,66.0,0.7,97.95,65.3,32.650000000000006,10611.250000000002,151.91322086250003,10459.336779137502,Reversal,2024-10-10,1,True,False
2024-10-10 10:05:00,2024-10-10 11:35:00,BULL_PUT,25107.6,25100,24600,146.15,33.0,197.25,48.0,113.15,149.25,-36.099999999999994,-11732.499999999998,217.73414912,-11950.234149119999,Reversal,2024-10-17,0,False,True
2024-10-10 11:35:00,2024-10-14 09:15:00,BEAR_CALL,25001.9,25000,25500,204.9,29.65,148.19,11.8,175.25,136.39,38.860000000000014,12629.500000000004,220.471799867,12409.028200133003,Reversal,2024-10-17,4,True,True
2024-10-14 09:15:00,2024-10-15 09:45:00,BULL_PUT,25055.95,25050,24550,142.25,18.89,55.8,4.09,123.36,51.709999999999994,71.65,23286.250000000004,172.89049878149999,23113.359501218503,Reversal,2024-10-17,1,True,False
2024-10-15 09:45:00,2024-10-16 14:00:00,BEAR_CALL,25118.7,25100,25600,136.85,5.15,28.55,1.6,131.7,26.95,104.74999999999999,34043.74999999999,163.24758175750003,33880.50241824249,Reversal,2024-10-17,1,True,False
2024-10-16 14:00:00,2024-10-16 15:10:00,BULL_PUT,25000.15,25000,24500,92.95,3.15,66.09,1.5,89.8,64.59,25.209999999999994,8193.249999999998,148.13811347450002,8045.111886525498,Reversal,2024-10-17,0,False,False
2024-10-16 15:10:00,2024-10-17 11:15:00,BEAR_CALL,24968.2,24950,25450,93.25,1.7,5.25,0.8,91.55,4.45,87.1,28307.499999999996,138.83475854999998,28168.665241449995,Target,2024-10-17,1,True,False
2024-10-17 11:15:00,2024-10-18 09:45:00,BEAR_CALL,24803.7,24800,25300,177.1,22.1,111.0,11.95,155.0,99.05,55.95,18183.75,201.15788925750002,17982.5921107425,Reversal,2024-10-24,1,True,True
2024-10-18 09:45:00,2024-10-21 09:30:00,BULL_PUT,24703.8,24700,24200,170.05,39.4,63.4,8.69,130.65,54.71,75.94,24680.5,191.96272121700002,24488.537278783,Reversal,2024-10-24,3,True,False
2024-10-21 09:30:00,2024-10-21 10:00:00,BEAR_CALL,24819.7,24800,25300,176.15,12.6,106.0,8.05,163.55,97.95,65.60000000000001,21320.000000000004,196.79625994000003,21123.203740060002,Reversal,2024-10-24,0,False,False
2024-10-21 10:00:00,2024-10-21 12:10:00,BULL_PUT,24808.35,24800,24300,169.7,25.05,173.35,23.8,144.64999999999998,149.54999999999998,-4.900000000000006,-1592.5000000000018,212.77152749500002,-1805.271527495002,Reversal,2024-10-24,0,False,False
2024-10-21 12:10:00,2024-10-21 13:55:00,BEAR_CALL,24720.95,24700,25200,139.1,11.2,183.7,14.75,127.89999999999999,168.95,-41.05,-13341.249999999998,193.95509118750002,-13535.205091187498,Reversal,2024-10-24,0,False,False
2024-10-21 13:55:00,2024-10-21 15:20:00,BULL_PUT,24854.3,24850,24350,140.85,15.5,178.6,20.35,125.35,158.25,-32.900000000000006,-10692.500000000002,197.23104006499997,-10889.731040065002,Reversal,2024-10-24,0,False,False
2024-10-21 15:20:00,2024-10-22 09:40:00,BEAR_CALL,24765.3,24750,25250,115.0,7.8,142.1,6.65,107.2,135.45,-28.249999999999986,-9181.249999999995,172.5026521275,-9353.752652127494,Reversal,2024-10-24,1,True,False
2024-10-22 09:40:00,2024-10-22 10:10:00,BULL_PUT,24851.3,24850,24350,129.69,12.65,122.0,10.45,117.03999999999999,111.55,5.489999999999995,1784.2499999999984,178.8059316295,1605.4440683704984,Reversal,2024-10-24,0,False,False
