entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry
2024-10-01 09:15:00,2024-10-03 09:15:00,BEAR_CALL,25897.35,25900,26400,105.75,9.44,4.25,0.75,96.31,3.5,92.81,30163.25,145.56886529950003,30017.6811347005,Target,2024-10-03,2,True,False
2024-10-03 09:15:00,2024-10-07 14:30:00,BEAR_CALL,25530.45,25550,26050,227.9,34.54,13.4,3.95,193.36,9.45,183.91000000000003,59770.75000000001,208.4494643795,59562.30053562051,Target,2024-10-10,4,True,True
2024-10-07 14:30:00,2024-10-10 15:15:00,BEAR_CALL,24766.55,24750,25250,198.5,38.45,242.9,0.1,160.05,242.8,-82.75,-26893.75,227.26903444750002,-27121.0190344475,Expiry,2024-10-10,3,True,False
2024-10-11 09:15:00,2024-10-14 12:10:00,BEAR_CALL,24954.1,24950,25450,198.1,27.15,262.5,23.55,170.95,238.95,-68.0,-22100.0,239.12490636499996,-22339.124906365,Reversal,2024-10-17,3,True,False
2024-10-14 12:10:00,2024-10-16 11:40:00,BULL_PUT,25154.6,25150,24650,108.9,12.6,242.1,12.85,96.30000000000001,229.25,-132.95,-43208.74999999999,187.8905982725,-43396.64059827249,Reversal,2024-10-17,2,True,False
2024-10-16 11:40:00,2024-10-17 11:30:00,BEAR_CALL,24935.9,24950,25450,73.4,3.6,3.8,0.95,69.80000000000001,2.8499999999999996,66.95000000000002,21758.750000000007,129.8063058375,21628.943694162506,Target,2024-10-17,1,True,False
2024-10-17 11:30:00,2024-10-23 14:00:00,BEAR_CALL,24782.35,24800,25300,166.7,20.2,7.75,1.1,146.5,6.65,139.85,45451.25,175.9549980375,45275.2950019625,Target,2024-10-24,6,True,True
2024-10-23 14:00:00,2024-10-24 11:30:00,BEAR_CALL,24523.35,24500,25000,96.2,2.35,4.34,0.6,93.85000000000001,3.7399999999999998,90.11000000000001,29285.750000000004,140.0662097645,29145.683790235504,Target,2024-10-24,1,True,False
2024-10-24 11:30:00,2024-10-28 10:35:00,BEAR_CALL,24415.95,24400,24900,198.6,26.05,123.85,6.85,172.54999999999998,117.0,55.54999999999998,18053.749999999993,211.18817211750002,17842.56182788249,Reversal,2024-10-31,4,True,True
2024-10-28 10:35:00,2024-10-31 12:40:00,BULL_PUT,24416.2,24400,23900,126.6,19.39,195.6,0.95,107.21,194.65,-87.44000000000001,-28418.000000000004,184.754927767,-28602.754927767004,Reversal,2024-10-31,3,True,False
2024-10-31 12:40:00,2024-11-06 09:15:00,BEAR_CALL,24202.4,24200,24700,250.55,54.45,175.4,19.95,196.10000000000002,155.45000000000002,40.650000000000006,13211.250000000002,252.9218868675,12958.328113132502,Reversal,2024-11-07,6,True,True
