entry_time,exit_time,type,direction,sell_strike,buy_strike,opt_type,expiry,spot_entry,spot_exit,sell_entry,buy_entry,entry_credit,sell_exit,buy_exit,exit_debit,pnl_per_unit,gross_pnl,brokerage,net_pnl,exit_reason,stt,exchange_txn,gst,stamp_duty
2024-10-03 11:00:00,2024-10-10 10:45:00,BEAR_CALL,BEARISH,25500,26000,CE,2024-10-10,25505.15,25058.4,212.21824999999998,35.2205,176.99775,0.95,0.2,0.75,176.24775,57280.518749999996,198.82,57081.698749999996,Expiry book profit,70.08999999999999,29.02,19.63,0
2024-10-10 12:30:00,2024-10-17 14:15:00,BEAR_CALL,BEARISH,25050,25550,CE,2024-10-17,25041.9,24741.9,183.8995,25.730249999999998,158.16924999999998,0.5,0.25,0.25,157.91924999999998,51323.75624999999,184.24,51139.51624999999,Expiry book profit,60.76,24.58,18.84,0
2024-10-23 14:00:00,2024-10-24 14:00:00,BEAR_CALL,BEARISH,24550,25050,CE,2024-10-24,24530.2,24394.35,67.52175,2.03,65.49175,0.9,0.3,0.6000000000000001,64.89175,21089.818750000002,126.58000000000001,20963.23875,Expiry book profit,22.380000000000003,8.290000000000001,15.9,0
2024-10-25 11:00:00,2024-10-31 15:29:00,BEAR_CALL,BEARISH,24150,24650,CE,2024-10-31,24155.15,0.0,184.63825,26.4915,158.14675,55.45,0.1,55.35,102.79675,33408.94375,215.65,33193.29375,Expiry settlement,83.49000000000001,31.07,20.009999999999998,1
2024-11-04 11:00:00,2024-11-07 15:29:00,BEAR_CALL,BEARISH,23900,24400,CE,2024-11-07,23884.6,0.0,194.88225,39.43275,155.4495,299.5,0.05,299.45,-144.0005,-46800.1625,356.68,-47156.8425,Expiry settlement,185.99,61.92,25.57,3
2024-11-11 09:30:00,2024-11-14 10:45:00,BEAR_CALL,BEARISH,24100,24600,CE,2024-11-14,24099.15,23587.65,140.855,12.02775,128.82725,0.85,0.3,0.55,128.27724999999998,41690.10625,162.29,41527.816249999996,Expiry book profit,46.58,18.009999999999998,17.65,0
2024-11-14 14:00:00,2024-11-21 14:45:00,BEAR_CALL,BEARISH,23550,24050,CE,2024-11-21,23532.05,23338.5,144.64724999999999,17.864,126.78324999999998,0.8,0.2,0.6000000000000001,126.18324999999999,41009.556249999994,164.79,40844.76624999999,Expiry book profit,47.8,19.11,17.85,0
2024-11-29 11:00:00,2024-12-05 15:15:00,BULL_PUT,BULLISH,24150,23650,PE,2024-12-05,24130.0,24751.0,178.7775,46.63925,132.13825,0.25,0.15,0.1,132.03825,42912.43125,184.57,42727.86125,Expiry book profit,59.04,26.310000000000002,19.15,0
2024-12-06 11:00:00,2024-12-12 15:29:00,BULL_PUT,BULLISH,24700,24200,PE,2024-12-12,24712.3,0.0,186.90375,45.065999999999995,141.83775,151.0,0.05,150.95,-9.112249999999989,-2961.481249999996,271.08000000000004,-3232.561249999996,Expiry settlement,123.03,44.480000000000004,22.43,1
2024-12-13 12:30:00,2024-12-19 14:00:00,BULL_PUT,BULLISH,24600,24100,PE,2024-12-19,24584.2,23955.0,182.96375,43.137499999999996,139.82625000000002,650.5134999999999,140.3625,510.1509999999999,-370.3247499999999,-120355.54374999997,345.31,-120700.85374999997,Reversal,106.68,116.82,35.49,6
