timestamp,equity
2024-10-01 09:15:00,400000.0
2024-10-03 11:00:00,400000.0
2024-10-10 10:45:00,457081.69875
2024-10-10 12:30:00,457081.69875
2024-10-17 14:15:00,508221.21499999997
2024-10-23 14:00:00,508221.21499999997
2024-10-24 14:00:00,529184.45375
2024-10-25 11:00:00,529184.45375
2024-10-31 15:29:00,562377.7474999999
2024-11-04 11:00:00,562377.7474999999
2024-11-07 15:29:00,515220.9049999999
2024-11-11 09:30:00,515220.9049999999
2024-11-14 10:45:00,556748.72125
2024-11-14 14:00:00,556748.72125
2024-11-21 14:45:00,597593.4874999999
2024-11-29 11:00:00,597593.4874999999
2024-12-05 15:15:00,640321.3487499999
2024-12-06 11:00:00,640321.3487499999
2024-12-12 15:29:00,637088.7874999999
2024-12-13 12:30:00,637088.7874999999
2024-12-19 14:00:00,516387.9337499999
2025-01-03 11:00:00,516387.9337499999
2025-01-03 12:30:00,511384.9724999999
2025-01-03 12:30:00,511384.9724999999
2025-01-06 09:15:00,507095.61499999993
2025-01-07 12:30:00,507095.61499999993
2025-01-09 14:30:00,547911.9424999999
2025-01-10 11:00:00,547911.9424999999
2025-01-16 14:15:00,607278.0062499999
2025-01-17 11:00:00,607278.0062499999
2025-01-23 15:29:00,627063.3737499999
2025-01-24 14:00:00,627063.3737499999
2025-01-30 15:29:00,657654.8574999999
2025-02-01 14:00:00,657654.8574999999
2025-02-03 12:30:00,636519.1087499999
2025-02-03 12:30:00,636519.1087499999
2025-02-04 12:30:00,581572.2749999999
2025-02-04 12:30:00,581572.2749999999
2025-02-06 15:30:00,620363.0587499999
2025-02-10 11:00:00,620363.0587499999
2025-02-13 13:45:00,664439.2424999998
2025-02-13 14:00:00,664439.2424999998
2025-02-20 15:29:00,717041.6499999998
2025-03-19 12:30:00,717041.6499999998
2025-03-20 15:29:00,650121.0812499998
2025-03-21 11:00:00,650121.0812499998
2025-03-27 14:30:00,686425.5274999999
2025-03-28 11:00:00,686425.5274999999
2025-04-02 12:30:00,617944.8962499999
2025-04-02 12:30:00,617944.8962499999
2025-04-03 14:45:00,637927.4149999999
2025-04-07 12:30:00,637927.4149999999
2025-04-09 15:29:00,545379.4412499999
2025-04-11 11:00:00,545379.4412499999
2025-04-15 12:30:00,464749.72374999995
2025-04-15 12:30:00,464749.72374999995
2025-04-17 14:45:00,495626.0087499999
2025-04-22 11:00:00,495626.0087499999
2025-04-24 15:29:00,524486.315
2025-04-25 14:00:00,524486.315
2025-04-30 13:45:00,562636.55375
2025-05-02 11:00:00,562636.55375
2025-05-08 15:29:00,543977.6224999999
2025-05-09 12:30:00,543977.6224999999
2025-05-15 11:30:00,586616.5025
2025-05-15 14:00:00,586616.5025
2025-05-22 15:29:00,477555.28874999995
2025-05-26 12:30:00,477555.28874999995
2025-05-29 15:29:00,467031.14999999997
2025-05-30 14:00:00,467031.14999999997
2025-06-03 11:00:00,442833.13875
2025-06-03 11:00:00,442833.13875
2025-06-05 12:30:00,431221.16125
2025-06-05 12:30:00,431221.16125
2025-06-12 14:45:00,469097.7025
2025-06-13 09:30:00,469097.7025
2025-06-17 14:00:00,442102.35250000004
2025-06-17 14:00:00,442102.35250000004
2025-06-19 15:29:00,452151.85750000004
2025-06-20 11:00:00,452151.85750000004
2025-06-26 14:30:00,486590.49500000005
2025-06-30 12:30:00,486590.49500000005
2025-07-03 15:29:00,470094.56875000003
2025-07-04 11:00:00,470094.56875000003
2025-07-10 15:29:00,490181.05750000005
2025-07-15 14:00:00,490181.05750000005
2025-07-17 15:00:00,513077.86875
2025-07-21 09:30:00,513077.86875
2025-07-24 15:29:00,495565.92375
2025-07-28 12:30:00,495565.92375
2025-07-31 15:15:00,528655.6012500001
2025-08-01 12:30:00,528655.6012500001
2025-08-07 14:00:00,572959.6775000001
2025-08-07 14:00:00,572959.6775000001
2025-08-14 15:29:00,540408.5425000001
2025-08-18 14:00:00,540408.5425000001
2025-08-21 14:00:00,568436.1187500001
2025-08-22 12:30:00,568436.1187500001
2025-08-28 09:15:00,487394.24375000014
2025-08-28 12:30:00,487394.24375000014
2025-09-02 15:15:00,523022.77375000017
2025-09-03 11:00:00,523022.77375000017
2025-09-05 14:00:00,477527.5912500002
2025-09-05 14:00:00,477527.5912500002
2025-09-09 15:00:00,494423.4737500002
2025-09-12 11:00:00,494423.4737500002
2025-09-16 14:45:00,515868.86500000017
2025-09-19 14:00:00,515868.86500000017
2025-09-23 15:29:00,474385.4787500002
2025-09-24 11:00:00,474385.4787500002
2025-09-26 09:15:00,426937.9437500002
2025-09-26 12:30:00,426937.9437500002
2025-09-30 15:00:00,462095.2887500002
2025-10-03 11:00:00,462095.2887500002
2025-10-07 14:00:00,357233.4112500002
2025-10-07 14:00:00,357233.4112500002
2025-10-14 15:29:00,365604.75875000015
2025-10-15 11:00:00,365604.75875000015
2025-10-20 12:45:00,386162.63125000015
2025-10-20 14:00:00,386162.63125000015
2025-10-28 15:15:00,418002.45625000016
2025-10-30 09:30:00,418002.45625000016
2025-11-06 09:15:00,250341.04500000013
2025-11-10 11:00:00,250341.04500000013
2025-11-11 15:00:00,265732.79000000015
2025-11-13 11:00:00,265732.79000000015
2025-11-18 15:29:00,280995.2262500002
2025-11-19 11:00:00,280995.2262500002
2025-11-25 15:29:00,295706.0987500002
2025-11-26 11:00:00,295706.0987500002
2025-12-02 15:29:00,302900.6587500002
2025-12-03 11:00:00,302900.6587500002
2025-12-04 09:15:00,304622.7587500002
2025-12-10 12:30:00,304622.7587500002
2025-12-12 12:30:00,265073.51500000025
2025-12-12 12:30:00,265073.51500000025
2025-12-16 09:30:00,252004.66625000024
2025-12-16 09:30:00,252004.66625000024
2025-12-19 09:30:00,256793.81375000023
2025-12-19 09:30:00,256793.81375000023
2025-12-23 12:45:00,279716.2950000002
2025-12-23 14:00:00,279716.2950000002
2025-12-30 12:30:00,206282.60625000024
2025-12-30 12:30:00,206282.60625000024
2026-01-01 14:00:00,159374.80625000026
2026-01-01 14:00:00,159374.80625000026
2026-01-06 15:00:00,180560.50125000026
2026-01-08 11:00:00,180560.50125000026
2026-01-13 13:45:00,216540.08000000028
2026-01-14 11:00:00,216540.08000000028
2026-01-20 14:30:00,251597.60625000027
2026-01-22 11:00:00,251597.60625000027
2026-01-27 15:15:00,300016.5362500003
2026-01-28 11:00:00,300016.5362500003
2026-02-03 12:30:00,215377.15000000029
2026-02-03 12:30:00,215377.15000000029
2026-02-10 14:45:00,260926.20875000028
2026-02-11 14:00:00,260926.20875000028
2026-02-13 14:00:00,172693.4025000003
2026-02-13 14:00:00,172693.4025000003
2026-02-17 15:29:00,134950.8162500003
2026-02-18 12:30:00,134950.8162500003
2026-02-20 09:15:00,90360.39250000031
2026-02-20 14:00:00,90360.39250000031
2026-02-23 14:00:00,94615.5325000003
2026-02-23 14:00:00,94615.5325000003
2026-02-24 11:00:00,62270.48500000032
2026-02-24 11:00:00,62270.48500000032
2026-03-02 12:00:00,120146.93750000032
2026-03-04 12:30:00,120146.93750000032
2026-03-10 15:00:00,190703.47250000032
