entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,equity_at_entry,margin_at_entry,margin_req,elm_component,elm_raw,margin_util_pct
2024-10-01 09:15:00,2024-10-03 09:15:00,BEAR_CALL,25897.35,25900,26400,105.75,9.44,4.25,0.75,96.31,3.5,92.81,60326.5,196.737730599,60129.762269401,Target,2024-10-03,2,True,False,800000,146752,161427,0,336666,18.3
2024-10-03 09:15:00,2024-10-07 14:30:00,BEAR_CALL,25530.45,25550,26050,227.9,34.54,13.4,3.95,193.36,9.45,183.91000000000003,119541.50000000001,322.498928759,119219.00107124101,Target,2024-10-10,4,True,True,860130,208499,229349,63826,331896,24.2
2024-10-07 14:30:00,2024-10-10 15:15:00,BEAR_CALL,24766.55,24750,25250,198.5,38.45,242.9,0.1,160.05,242.8,-82.75,-53787.5,360.138068895,-54147.638068895,Expiry,2024-10-10,3,True,False,979349,140344,154378,0,321965,14.3
2024-10-11 09:15:00,2024-10-14 12:10:00,BEAR_CALL,24954.1,24950,25450,198.1,27.15,262.5,23.55,170.95,238.95,-68.0,-44200.0,383.84981272999994,-44583.84981273,Reversal,2024-10-17,3,True,False,925201,141407,155547,0,324403,15.3
2024-10-14 12:10:00,2024-10-16 11:40:00,BULL_PUT,25154.6,25150,24650,108.9,12.6,242.1,12.85,96.30000000000001,229.25,-132.95,-86417.49999999999,281.381196545,-86698.88119654499,Reversal,2024-10-17,2,True,False,880617,142543,156797,0,327010,16.2
2024-10-16 11:40:00,2024-10-17 11:30:00,BEAR_CALL,24935.9,24950,25450,73.4,3.6,3.8,0.95,69.80000000000001,2.8499999999999996,66.95000000000002,43517.500000000015,165.21261167499998,43352.287388325014,Target,2024-10-17,1,True,False,793918,141303,155434,0,324167,17.8
2024-10-17 11:30:00,2024-10-23 14:00:00,BEAR_CALL,24782.35,24800,25300,166.7,20.2,7.75,1.1,146.5,6.65,139.85,90902.5,257.509996075,90644.990003925,Target,2024-10-24,6,True,True,837271,202389,222628,61956,322171,24.2
2024-10-23 14:00:00,2024-10-24 11:30:00,BEAR_CALL,24523.35,24500,25000,96.2,2.35,4.34,0.6,93.85000000000001,3.7399999999999998,90.11000000000001,58571.50000000001,185.73241952900005,58385.76758047101,Target,2024-10-24,1,True,False,927916,138966,152862,0,318804,15.0
2024-10-24 11:30:00,2024-10-28 10:35:00,BEAR_CALL,24415.95,24400,24900,198.6,26.05,123.85,6.85,172.54999999999998,117.0,55.54999999999998,36107.499999999985,327.976344235,35779.523655764984,Reversal,2024-10-31,4,True,True,986301,199397,219337,61040,317407,20.2
2024-10-28 10:35:00,2024-10-31 12:40:00,BULL_PUT,24416.2,24400,23900,126.6,19.39,195.6,0.95,107.21,194.65,-87.44000000000001,-56836.00000000001,275.109855534,-57111.10985553401,Reversal,2024-10-31,3,True,False,1022081,138358,152194,0,317411,13.5
2024-10-31 12:40:00,2024-11-06 09:15:00,BEAR_CALL,24202.4,24200,24700,250.55,54.45,175.4,19.95,196.10000000000002,155.45000000000002,40.650000000000006,26422.500000000004,411.44377373500004,26011.056226265002,Reversal,2024-11-07,6,True,True,964970,197653,217418,60506,314631,20.5
2024-11-06 09:15:00,2024-11-07 10:00:00,BULL_PUT,24262.9,24250,23750,150.0,20.6,74.2,1.14,129.4,73.06,56.34,36621.0,261.700599674,36359.299400326,Reversal,2024-11-07,1,True,False,990981,137490,151239,0,315418,13.9
2024-11-07 10:00:00,2024-11-13 10:15:00,BEAR_CALL,24220.95,24200,24700,245.95,49.5,8.65,1.8,196.45,6.8500000000000005,189.6,123240.0,340.16841938999994,122899.83158061,Target,2024-11-14,6,True,True,1027340,197804,217585,60552,314872,19.3
2024-11-13 10:15:00,2024-11-14 11:15:00,BEAR_CALL,23708.85,23700,24200,103.9,8.65,4.4,0.6,95.25,3.8000000000000003,91.45,59442.5,194.70378585500004,59247.796214145,Target,2024-11-14,1,True,False,1150240,134350,147785,0,308215,11.7
2024-11-14 11:15:00,2024-11-19 11:25:00,BEAR_CALL,23508.05,23500,24000,169.65,21.2,285.8,14.95,148.45000000000002,270.85,-122.4,-79560.0,354.72198036,-79914.72198036,Reversal,2024-11-21,5,True,True,1209488,191982,211181,58770,305605,15.9
2024-11-19 11:25:00,2024-11-19 15:05:00,BULL_PUT,23758.9,23750,23250,88.45,6.0,263.1,28.1,82.45,235.00000000000003,-152.55,-99157.50000000001,280.796191865,-99438.29619186501,Reversal,2024-11-21,0,False,False,1129573,134634,148097,0,308866,11.9
2024-11-19 15:05:00,2024-11-21 10:00:00,BEAR_CALL,23541.0,23550,24050,89.25,3.25,4.95,1.2,86.0,3.75,82.25,53462.5,180.31167916500002,53282.188320835,Target,2024-11-21,2,True,False,1030135,133399,146739,0,306033,12.9
2024-11-21 10:00:00,2024-11-22 10:00:00,BEAR_CALL,23345.8,23350,23850,168.55,24.3,280.95,51.55,144.25,229.39999999999998,-85.14999999999998,-55347.499999999985,386.98612623500003,-55734.48612623499,Reversal,2024-11-28,1,True,True,1083417,190657,209723,58364,303495,17.6
2024-11-22 10:00:00,2024-11-26 09:30:00,BULL_PUT,23562.95,23550,23050,201.4,53.55,10.8,4.55,147.85000000000002,6.250000000000001,141.60000000000002,92040.00000000001,303.39047663,91736.60952337002,Target,2024-11-28,4,True,False,1027683,133523,146876,0,306318,13.0
2024-11-26 09:30:00,2024-11-28 11:20:00,BULL_PUT,24312.15,24300,23800,128.55,20.1,265.6,12.75,108.45000000000002,252.85000000000002,-144.4,-93860.0,308.50760670000005,-94168.5076067,Reversal,2024-11-28,2,True,False,1119419,137769,151546,0,316058,12.3
2024-11-28 11:20:00,2024-12-03 10:15:00,BEAR_CALL,24045.2,24050,24550,228.1,47.4,350.9,56.45,180.7,294.45,-113.75,-73937.5,473.735031985,-74411.235031985,Reversal,2024-12-05,5,True,True,1025251,196369,216006,60113,312588,19.2
2024-12-03 10:15:00,2024-12-05 14:30:00,BULL_PUT,24369.75,24350,23850,144.94,24.2,5.0,1.0,120.74,4.0,116.74,75881.0,237.69302699399998,75643.306973006,Target,2024-12-05,2,True,False,950839,138095,151905,0,316807,14.5
2024-12-05 14:30:00,2024-12-12 15:15:00,BULL_PUT,24845.8,24850,24350,244.0,88.95,298.35,0.05,155.05,298.3,-143.25,-93112.5,433.12150383499994,-93545.621503835,Expiry,2024-12-12,7,True,True,1026483,202907,223198,62114,322995,19.8
2024-12-13 09:15:00,2024-12-13 09:20:00,BULL_PUT,24470.45,24450,23950,137.15,24.0,173.2,36.85,113.15,136.35,-23.19999999999999,-15079.999999999993,312.78771552,-15392.787715519993,Reversal,2024-12-19,0,False,False,932937,138666,152532,0,318116,14.9
2024-12-13 09:20:00,2024-12-13 13:00:00,BEAR_CALL,24419.65,24400,24900,218.5,37.5,366.0,86.55,181.0,279.45,-98.44999999999999,-63992.49999999999,494.184781955,-64486.684781954995,Reversal,2024-12-19,0,False,False,917544,138378,152216,0,317455,15.1
2024-12-13 13:00:00,2024-12-17 10:30:00,BULL_PUT,24667.95,24650,24150,164.35,37.4,297.7,59.45,126.94999999999999,238.25,-111.30000000000001,-72345.00000000001,399.14181569000004,-72744.14181569002,Reversal,2024-12-19,4,True,False,853058,139785,153764,0,320683,16.4
2024-12-17 10:30:00,2024-12-19 09:15:00,BEAR_CALL,24413.55,24400,24900,181.85,30.35,8.75,4.75,151.5,4.0,147.5,95875.0,278.13221997000005,95596.86778003,Target,2024-12-19,2,True,False,780313,138343,152178,0,317376,17.7
2025-01-02 09:15:00,2025-01-02 10:45:00,BEAR_CALL,23788.85,23800,24300,235.85,51.2,282.05,66.25,184.64999999999998,215.8,-31.150000000000034,-20247.500000000022,470.89315723500005,-20718.393157235023,Reversal,2025-01-09,0,False,True,875910,194276,213703,59472,309255,22.2
2025-01-02 10:45:00,2025-01-06 10:40:00,BULL_PUT,23913.9,23900,23400,220.0,65.59,151.0,18.8,154.41,132.2,22.210000000000008,14436.500000000005,378.29344051899994,14058.206559481005,Reversal,2025-01-09,4,True,True,855192,195297,214827,59785,310881,22.8
2025-01-06 10:40:00,2025-01-08 12:00:00,BEAR_CALL,23882.95,23900,24400,161.85,22.0,7.75,1.6,139.85,6.15,133.7,86904.99999999999,254.02072672000003,86650.97927327998,Target,2025-01-09,2,True,False,869250,135337,148870,0,310478,15.6
2025-01-08 12:00:00,2025-01-09 14:45:00,BEAR_CALL,23544.25,23550,24050,77.0,3.95,2.04,0.25,73.05,1.79,71.25999999999999,46318.99999999999,167.477307004,46151.52269299599,Target,2025-01-09,1,True,False,955901,133417,146759,0,306075,14.0
2025-01-09 14:45:00,2025-01-15 09:30:00,BEAR_CALL,23508.35,23500,24000,225.3,40.0,10.65,1.6,185.3,9.05,176.25,114562.5,318.722121855,114243.777878145,Target,2025-01-16,6,True,True,1002053,191985,211183,58771,305609,19.2
2025-01-15 09:30:00,2025-01-16 15:15:00,BEAR_CALL,23180.95,23200,23700,87.75,3.65,105.15,0.05,84.1,105.10000000000001,-21.000000000000014,-13650.00000000001,207.31886086000003,-13857.318860860008,Expiry,2025-01-16,1,True,False,1116296,131359,144495,0,301352,11.8
2025-01-17 09:15:00,2025-01-21 09:15:00,BEAR_CALL,23181.75,23200,23700,199.3,33.79,254.7,27.2,165.51000000000002,227.5,-61.98999999999998,-40293.499999999985,387.98810367900006,-40681.48810367899,Reversal,2025-01-23,4,True,False,1102439,131363,144500,0,301363,11.9
2025-01-21 09:15:00,2025-01-21 12:20:00,BULL_PUT,23397.35,23400,22900,135.5,19.64,288.89,56.15,115.86,232.73999999999998,-116.87999999999998,-75971.99999999999,361.67907577799997,-76333.67907577798,Reversal,2025-01-23,0,False,False,1061758,132585,145843,0,304166,12.5
2025-01-21 12:20:00,2025-01-23 15:15:00,BEAR_CALL,23127.15,23150,23650,170.3,20.85,57.05,0.05,149.45000000000002,57.0,92.45000000000002,60092.500000000015,274.48883132500004,59818.01116867502,Expiry,2025-01-23,2,True,False,985424,131054,144159,0,300653,13.3
