entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,equity_at_entry,margin_at_entry,margin_req,elm_component,elm_raw,margin_util_pct
2024-10-01 09:15:00,2024-10-01 10:00:00,BULL_PUT,25897.35,25900,25400,105.0,9.4,114.85,8.85,95.6,106.0,-10.400000000000006,-2028.0000000000011,136.848152903,-2164.848152903001,Reversal,2024-10-03,0,False,False,300000,73376,80713,0,101000,24.5
2024-10-01 10:00:00,2024-10-01 11:45:00,BEAR_CALL,25829.3,25850,26350,100.4,5.25,87.9,4.25,95.15,83.65,11.5,2242.5,131.56823731400002,2110.931762686,Reversal,2024-10-03,0,False,False,297835,73183,80501,0,100734,24.6
2024-10-01 11:45:00,2024-10-01 12:40:00,BULL_PUT,25809.9,25800,25300,69.55,4.9,95.2,6.95,64.64999999999999,88.25,-23.60000000000001,-4602.000000000002,124.38157065799999,-4726.381570658002,Reversal,2024-10-03,0,False,False,299946,73128,80441,0,100659,24.4
2024-10-01 12:40:00,2024-10-01 13:25:00,BEAR_CALL,25771.1,25750,26250,116.7,6.05,133.15,6.65,110.65,126.5,-15.849999999999994,-3090.749999999999,140.79263460650003,-3231.542634606499,Reversal,2024-10-03,0,False,False,295220,73018,80320,0,100507,24.7
2024-10-01 13:25:00,2024-10-01 14:40:00,BULL_PUT,25813.55,25800,25300,76.0,4.75,85.65,3.7,71.25,81.95,-10.700000000000003,-2086.5000000000005,124.415925563,-2210.9159255630007,Reversal,2024-10-03,0,False,False,291988,73138,80452,0,100673,25.0
2024-10-01 14:40:00,2024-10-01 15:00:00,BEAR_CALL,25757.6,25750,26250,101.55,3.25,114.65,3.1,98.3,111.55000000000001,-13.250000000000014,-2583.7500000000027,133.74214440650002,-2717.4921444065026,Reversal,2024-10-03,0,False,False,289777,72980,80278,0,100455,25.2
2024-10-01 15:00:00,2024-10-03 09:15:00,BULL_PUT,25817.05,25800,25300,64.8,2.75,253.8,25.4,62.05,228.4,-166.35000000000002,-32438.250000000004,141.9179879525,-32580.167987952504,Reversal,2024-10-03,2,True,False,287060,73148,80463,0,100686,25.5
2024-10-03 09:15:00,2024-10-03 09:25:00,BEAR_CALL,25530.45,25550,26050,227.9,34.54,215.05,32.45,193.36,182.60000000000002,10.759999999999991,2098.199999999998,188.4355937222,1909.7644062777981,Reversal,2024-10-10,0,False,True,254480,104249,114674,31913,99569,41.0
2024-10-03 09:25:00,2024-10-03 10:00:00,BULL_PUT,25588.15,25600,25100,165.65,44.2,153.35,37.9,121.45,115.44999999999999,6.000000000000014,1170.0000000000027,168.131952593,1001.8680474070027,Reversal,2024-10-10,0,False,True,256389,104485,114933,31985,99794,40.8
2024-10-03 10:00:00,2024-10-04 09:30:00,BEAR_CALL,25558.6,25550,26050,218.25,32.6,56.95,8.1,185.65,48.85,136.8,26676.000000000004,164.96106211699998,26511.038937883004,Reversal,2024-10-10,1,True,True,257391,104364,114801,31948,99679,40.5
2024-10-04 09:30:00,2024-10-04 10:15:00,BULL_PUT,25198.75,25200,24700,185.0,67.3,161.5,53.9,117.7,107.6,10.100000000000009,1969.5000000000016,180.668191451,1788.8318085490016,Reversal,2024-10-10,0,False,False,283902,71396,78536,0,98275,25.1
2024-10-04 10:15:00,2024-10-04 10:30:00,BEAR_CALL,25176.05,25200,25700,219.8,32.2,211.4,31.6,187.60000000000002,179.8,7.800000000000011,1521.0000000000023,185.43045185000003,1335.5695481500022,Reversal,2024-10-10,0,False,False,285691,71332,78465,0,98187,25.0
2024-10-04 10:30:00,2024-10-04 11:30:00,BULL_PUT,25258.35,25250,24750,184.0,58.0,148.44,46.1,126.0,102.34,23.659999999999997,4613.699999999999,176.2667443802,4437.433255619799,Reversal,2024-10-10,0,False,False,287027,71565,78722,0,98508,24.9
2024-10-04 11:30:00,2024-10-04 11:50:00,BEAR_CALL,25281.1,25300,25800,213.1,34.7,244.9,41.6,178.39999999999998,203.3,-24.900000000000034,-4855.500000000006,189.50654780899998,-5045.006547809006,Reversal,2024-10-10,0,False,False,291464,71630,78793,0,98596,24.6
2024-10-04 11:50:00,2024-10-04 12:30:00,BULL_PUT,25365.5,25350,24850,167.95,53.65,141.0,46.9,114.29999999999998,94.1,20.19999999999999,3938.9999999999977,171.00715848499996,3767.992841514998,Reversal,2024-10-10,0,False,False,286419,71869,79056,0,98925,25.1
