entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,equity_at_entry,margin_at_entry,margin_req,elm_component,elm_raw,margin_util_pct
2024-10-01 09:15:00,2024-10-03 09:15:00,BEAR_CALL,25897.35,25900,26400,105.75,9.44,4.25,0.75,96.31,3.5,92.81,18097.95,125.10131917969998,17972.8486808203,Target,2024-10-03,2,True,False,300000,73376,80713,0,101000,24.5
2024-10-03 09:15:00,2024-10-04 09:55:00,BEAR_CALL,25530.45,25550,26050,227.9,34.54,76.55,11.2,193.36,65.35,128.01000000000002,24961.950000000004,170.38457407970003,24791.565425920304,Reversal,2024-10-10,1,True,True,317973,104249,114674,31913,99569,32.8
2024-10-04 09:55:00,2024-10-04 12:40:00,BULL_PUT,25279.3,25300,24800,177.45,57.0,182.6,59.9,120.44999999999999,122.69999999999999,-2.25,-438.75,181.18747927849998,-619.9374792785,Reversal,2024-10-10,0,False,False,342764,71625,78787,0,98589,20.9
2024-10-04 12:40:00,2024-10-08 10:35:00,BEAR_CALL,25203.1,25200,25700,273.95,54.1,57.85,6.35,219.85,51.5,168.35,32828.25,181.87187861750002,32646.3781213825,Reversal,2024-10-10,4,True,False,342144,71409,78550,0,98292,20.9
2024-10-08 10:35:00,2024-10-09 14:20:00,BULL_PUT,24932.15,24950,24450,174.9,39.0,45.85,2.8,135.9,43.050000000000004,92.85,18105.75,151.0729371065,17954.6770628935,Reversal,2024-10-10,1,True,False,374791,70641,77705,0,97235,18.8
2024-10-09 14:20:00,2024-10-10 10:10:00,BEAR_CALL,25055.15,25050,25550,97.55,3.4,87.7,1.0,94.14999999999999,86.7,7.449999999999989,1452.7499999999977,129.6985700795,1323.0514299204976,Reversal,2024-10-10,1,True,False,392746,70990,78089,0,97715,18.1
2024-10-10 10:10:00,2024-10-11 09:15:00,BULL_PUT,25116.95,25100,24600,141.44,30.65,216.0,52.05,110.78999999999999,163.95,-53.16,-10366.199999999999,169.6581675482,-10535.858167548198,Reversal,2024-10-17,1,True,True,394069,102561,112817,31396,97956,26.0
2024-10-11 09:15:00,2024-10-14 09:15:00,BEAR_CALL,24954.1,24950,25450,198.1,27.15,177.9,15.45,170.95,162.45000000000002,8.499999999999972,1657.4999999999945,171.56055861800002,1485.9394413819946,Reversal,2024-10-17,3,True,False,383533,70703,77774,0,97321,18.4
2024-10-14 09:15:00,2024-10-15 09:50:00,BULL_PUT,25055.95,25050,24550,142.25,18.89,68.8,5.35,123.36,63.449999999999996,59.910000000000004,11682.45,142.98515009270002,11539.464849907301,Reversal,2024-10-17,1,True,False,385019,70992,78091,0,97718,18.4
2024-10-15 09:50:00,2024-10-16 14:25:00,BEAR_CALL,25097.0,25100,25600,130.8,5.2,44.0,1.25,125.60000000000001,42.75,82.85000000000001,16155.750000000002,135.29728418750003,16020.452715812502,Reversal,2024-10-17,1,True,False,396558,71108,78219,0,97878,17.9
2024-10-16 14:25:00,2024-10-16 15:20:00,BULL_PUT,25050.35,25050,24550,83.6,2.8,108.6,2.1,80.8,106.5,-25.700000000000003,-5011.500000000001,127.92236057299999,-5139.422360573001,Reversal,2024-10-17,0,False,False,412579,70976,78074,0,97696,17.2
2024-10-16 15:20:00,2024-10-17 11:30:00,BEAR_CALL,24959.35,24950,25450,80.45,1.35,3.8,0.95,79.10000000000001,2.8499999999999996,76.25000000000001,14868.750000000004,117.3988972265,14751.351102773504,Target,2024-10-17,1,True,False,407439,70718,77790,0,97341,17.4
2024-10-17 11:30:00,2024-10-18 09:45:00,BEAR_CALL,24782.35,24800,25300,166.7,20.2,111.0,11.95,146.5,99.05,47.45,9252.75,155.4072076055,9097.3427923945,Reversal,2024-10-24,1,True,True,422191,101195,111314,30978,96651,24.0
2024-10-18 09:45:00,2024-10-21 09:30:00,BULL_PUT,24703.8,24700,24200,170.05,39.4,63.4,8.69,130.65,54.71,75.94,14808.3,152.9376327302,14655.3623672698,Reversal,2024-10-24,3,True,False,431288,69994,76994,0,96345,16.2
2024-10-21 09:30:00,2024-10-21 13:55:00,BEAR_CALL,24819.7,24800,25300,176.15,12.6,124.25,7.8,163.55,116.45,47.10000000000001,9184.500000000002,157.371491804,9027.128508196001,Reversal,2024-10-24,0,False,False,445943,70322,77355,0,96797,15.8
2024-10-21 13:55:00,2024-10-22 10:15:00,BULL_PUT,24854.3,24850,24350,140.85,15.5,154.8,13.65,125.35,141.15,-15.800000000000011,-3081.0000000000023,152.152362824,-3233.1523628240025,Reversal,2024-10-24,1,True,False,454970,70421,77463,0,96932,15.5
2024-10-22 10:15:00,2024-10-23 11:30:00,BEAR_CALL,24719.75,24700,25200,143.85,7.65,56.55,1.7,136.2,54.849999999999994,81.35,15863.249999999998,140.3540961425,15722.895903857498,Reversal,2024-10-24,1,True,False,451737,70039,77043,0,96407,15.5
2024-10-23 11:30:00,2024-10-24 09:25:00,BULL_PUT,24592.55,24600,24100,94.7,9.0,188.05,3.45,85.7,184.60000000000002,-98.90000000000002,-19285.500000000004,138.89385527599998,-19424.393855276005,Reversal,2024-10-24,1,True,False,467460,69679,76647,0,95911,14.9
2024-10-24 09:25:00,2024-10-25 15:15:00,BEAR_CALL,24409.35,24400,24900,228.0,38.6,66.05,7.05,189.4,59.0,130.4,25428.0,168.697131311,25259.302868689,Reversal,2024-10-31,1,True,True,448036,99672,109639,30512,95196,22.2
2024-10-25 15:15:00,2024-10-28 15:00:00,BULL_PUT,24208.15,24200,23700,147.4,28.3,53.7,9.0,119.10000000000001,44.7,74.4,14508.000000000002,144.922835792,14363.077164208002,Reversal,2024-10-31,3,True,False,473295,68590,75449,0,94412,14.5
2024-10-28 15:00:00,2024-10-29 13:00:00,BEAR_CALL,24307.65,24300,24800,166.7,9.1,138.69,5.45,157.6,133.24,24.359999999999985,4750.199999999997,155.06398402220003,4595.136015977797,Reversal,2024-10-31,1,True,False,487658,68872,75759,0,94800,14.1
2024-10-29 13:00:00,2024-10-30 13:55:00,BULL_PUT,24344.9,24350,23850,105.9,10.0,65.4,3.15,95.9,62.25000000000001,33.65,6561.75,131.22790500349998,6430.5220949965,Reversal,2024-10-31,1,True,False,492253,68977,75875,0,94945,14.0
2024-10-30 13:55:00,2024-10-31 12:00:00,BEAR_CALL,24365.4,24350,24850,102.7,2.15,5.9,1.05,100.55,4.8500000000000005,95.7,18661.5,123.844224134,18537.655775866,Target,2024-10-31,1,True,False,498684,69035,75939,0,95025,13.8
2024-10-31 12:00:00,2024-11-01 18:00:00,BEAR_CALL,24240.25,24250,24750,233.95,46.25,232.45,50.5,187.7,181.95,5.75,1121.25,197.6677893845,923.5822106155,Reversal,2024-11-07,1,True,True,517221,98981,108879,30300,94537,19.1
2024-11-01 18:00:00,2024-11-04 09:15:00,BULL_PUT,24342.35,24350,23850,256.89,78.95,272.45,81.34,177.94,191.10999999999999,-13.169999999999987,-2568.1499999999974,218.94960038690002,-2787.0996003868972,Reversal,2024-11-07,3,True,False,518145,68970,75867,0,94935,13.3
2024-11-04 09:15:00,2024-11-04 14:45:00,BEAR_CALL,24115.25,24100,24600,270.0,52.9,131.6,16.25,217.1,115.35,101.75,19841.25,189.8923395725,19651.3576604275,Reversal,2024-11-07,0,False,False,515358,68327,75159,0,94049,13.3
2024-11-04 14:45:00,2024-11-05 11:40:00,BULL_PUT,23984.55,24000,23500,227.05,62.0,242.75,63.85,165.05,178.9,-13.849999999999994,-2700.749999999999,201.74243235950001,-2902.492432359499,Reversal,2024-11-07,1,True,False,535009,67956,74752,0,93540,12.7
2024-11-05 11:40:00,2024-11-05 13:25:00,BEAR_CALL,23867.35,23850,24350,225.3,39.7,250.4,42.45,185.60000000000002,207.95,-22.349999999999966,-4358.249999999994,194.0434608455,-4552.293460845493,Reversal,2024-11-07,0,False,False,532107,67624,74387,0,93083,12.7
2024-11-05 13:25:00,2024-11-06 12:00:00,BULL_PUT,24049.0,24050,23550,219.3,49.85,13.55,5.8,169.45000000000002,7.750000000000001,161.70000000000002,31531.500000000004,162.31795575499999,31369.182044245004,Target,2024-11-07,1,True,False,527554,68139,74953,0,93791,12.9
2024-11-06 12:00:00,2024-11-07 09:20:00,BULL_PUT,24439.75,24450,23950,111.65,10.7,73.8,1.05,100.95,72.75,28.200000000000003,5499.000000000001,133.038194036,5365.961805964001,Reversal,2024-11-07,1,True,False,558924,69246,76171,0,95315,12.4
2024-11-07 09:20:00,2024-11-08 09:45:00,BEAR_CALL,24397.1,24400,24900,234.75,45.8,116.7,12.95,188.95,103.75,85.19999999999999,16613.999999999996,177.28222022600002,16436.717779773997,Reversal,2024-11-14,1,True,True,564290,99621,109584,30496,95149,17.7
2024-11-08 09:45:00,2024-11-11 09:15:00,BULL_PUT,24247.4,24250,23750,161.0,35.6,285.0,55.65,125.4,229.35,-103.94999999999999,-20270.249999999996,182.56850246749997,-20452.818502467497,Reversal,2024-11-14,3,True,False,580726,68701,75571,0,94565,11.8
2024-11-11 09:15:00,2024-11-11 09:45:00,BEAR_CALL,24061.2,24050,24550,137.69,13.2,195.85,18.6,124.49,177.25,-52.760000000000005,-10288.2,156.0517572242,-10444.251757224201,Reversal,2024-11-14,0,False,False,560273,68173,74991,0,93839,12.2
2024-11-11 09:45:00,2024-11-11 13:15:00,BULL_PUT,24171.9,24150,23650,134.35,15.65,90.6,8.3,118.69999999999999,82.3,36.39999999999999,7097.999999999998,143.244286907,6954.755713092998,Reversal,2024-11-14,0,False,False,549829,68487,75336,0,94270,12.5
2024-11-11 13:15:00,2024-11-12 09:55:00,BEAR_CALL,24189.3,24200,24700,133.85,7.55,86.2,4.7,126.3,81.5,44.8,8736.0,141.01071704900002,8594.989282951,Reversal,2024-11-14,1,True,False,556784,68536,75390,0,94338,12.3
2024-11-12 09:55:00,2024-11-12 12:40:00,BULL_PUT,24229.05,24250,23750,178.15,15.65,225.7,19.35,162.5,206.35,-43.849999999999994,-8550.749999999998,170.30335237550003,-8721.053352375498,Reversal,2024-11-14,0,False,False,565379,68649,75514,0,94493,12.1
2024-11-12 12:40:00,2024-11-13 13:30:00,BEAR_CALL,24050.05,24050,24550,119.25,8.05,6.75,1.65,111.2,5.1,106.10000000000001,20689.5,129.187394291,20560.312605709,Target,2024-11-14,1,True,False,556658,68142,74956,0,93795,12.2
2024-11-13 13:30:00,2024-11-14 12:30:00,BEAR_CALL,23642.2,23650,24150,90.8,4.25,3.2,0.5,86.55,2.7,83.85,16350.749999999998,120.3430647125,16230.406935287498,Target,2024-11-14,1,True,False,577218,66986,73685,0,92205,11.6
2024-11-14 12:30:00,2024-11-18 12:25:00,BEAR_CALL,23521.7,23500,24000,179.15,22.25,131.15,7.35,156.9,123.80000000000001,33.099999999999994,6454.499999999999,159.53146573700002,6294.968534262999,Reversal,2024-11-21,4,True,True,593449,96047,105652,29402,91735,16.2
2024-11-18 12:25:00,2024-11-19 14:50:00,BULL_PUT,23542.5,23550,23050,148.3,17.75,52.05,2.65,130.55,49.4,81.15,15824.250000000002,142.3416870725,15681.908312927502,Reversal,2024-11-21,1,True,False,599744,66704,73374,0,91816,11.1
2024-11-19 14:50:00,2024-11-21 09:45:00,BEAR_CALL,23636.75,23650,24150,94.0,1.85,4.45,0.85,92.15,3.6,88.55000000000001,17267.250000000004,121.2253503245,17146.024649675503,Target,2024-11-21,2,True,False,615426,66971,73668,0,92183,10.9
2024-11-21 09:45:00,2024-11-22 09:20:00,BEAR_CALL,23296.95,23300,23800,216.4,35.35,267.85,45.85,181.05,222.00000000000003,-40.95000000000002,-7985.250000000004,193.67067903350002,-8178.920679033504,Reversal,2024-11-28,1,True,True,632572,95129,104642,29121,90858,15.0
2024-11-22 09:20:00,2024-11-25 10:30:00,BULL_PUT,23499.5,23500,23000,210.05,56.5,13.1,5.45,153.55,7.6499999999999995,145.9,28450.5,160.20347801300005,28290.296521987,Target,2024-11-28,3,True,False,624393,66582,73240,0,91648,10.7
2024-11-25 10:30:00,2024-11-25 12:55:00,BULL_PUT,24319.95,24300,23800,139.85,25.6,204.75,40.7,114.25,164.05,-49.80000000000001,-9711.000000000002,164.642281967,-9875.642281967002,Reversal,2024-11-28,0,False,False,652683,68907,75797,0,94848,10.6
2024-11-25 12:55:00,2024-11-26 09:15:00,BEAR_CALL,24158.0,24150,24650,181.75,22.0,210.15,20.7,159.75,189.45000000000002,-29.700000000000017,-5791.500000000004,170.866347698,-5962.366347698004,Reversal,2024-11-28,1,True,False,642807,68448,75292,0,94216,10.6
2024-11-26 09:15:00,2024-11-26 12:20:00,BULL_PUT,24310.35,24300,23800,142.4,22.85,203.45,28.85,119.55000000000001,174.6,-55.04999999999998,-10734.749999999996,161.7105946565,-10896.460594656497,Reversal,2024-11-28,0,False,False,636845,68879,75767,0,94810,10.8
2024-11-26 12:20:00,2024-11-27 12:30:00,BEAR_CALL,24146.15,24150,24650,128.1,8.0,168.0,4.84,120.1,163.16,-43.06,-8396.7,146.6812315922,-8543.3812315922,Reversal,2024-11-28,1,True,False,625948,68414,75256,0,94170,10.9
2024-11-27 12:30:00,2024-11-28 10:30:00,BULL_PUT,24287.25,24300,23800,96.0,5.3,56.75,1.14,90.7,55.61,35.09,6842.550000000001,126.7564257497,6715.793574250301,Reversal,2024-11-28,1,True,False,617405,68814,75695,0,94720,11.1
2024-11-28 10:30:00,2024-11-29 09:55:00,BEAR_CALL,24225.8,24250,24750,231.7,36.65,120.55,14.75,195.04999999999998,105.8,89.24999999999999,17403.749999999996,176.4704658995,17227.279534100497,Reversal,2024-12-05,1,True,True,624121,98922,108814,30282,94481,15.8
2024-11-29 09:55:00,2024-12-02 09:15:00,BULL_PUT,24063.3,24050,23550,175.8,45.15,138.75,25.9,130.65,112.85,17.80000000000001,3471.0000000000023,166.420588328,3304.579411672002,Reversal,2024-12-05,3,True,False,641348,68179,74997,0,93847,10.6
2024-12-02 09:15:00,2024-12-02 10:15:00,BEAR_CALL,24037.75,24050,24550,181.05,19.6,247.85,29.6,161.45000000000002,218.25,-56.79999999999998,-11075.999999999996,176.23818410300004,-11252.238184102996,Reversal,2024-12-05,0,False,False,644653,68107,74918,0,93747,10.6
2024-12-02 10:15:00,2024-12-04 11:55:00,BULL_PUT,24172.05,24150,23650,127.2,21.35,37.29,2.95,105.85,34.339999999999996,71.50999999999999,13944.449999999999,135.6001722977,13808.849827702299,Reversal,2024-12-05,2,True,False,633400,68487,75336,0,94271,10.8
2024-12-04 11:55:00,2024-12-04 13:30:00,BEAR_CALL,24414.0,24400,24900,146.05,7.0,158.44,5.05,139.05,153.39,-14.339999999999975,-2796.299999999995,150.78373878020003,-2947.0837387801953,Reversal,2024-12-05,0,False,False,647209,69173,76090,0,95215,10.7
2024-12-04 13:30:00,2024-12-05 09:50:00,BULL_PUT,24513.45,24500,24000,130.85,14.35,191.0,22.6,116.5,168.4,-51.900000000000006,-10120.500000000002,154.940132744,-10275.440132744001,Reversal,2024-12-05,1,True,False,644262,69455,76400,0,95602,10.8
2024-12-05 09:50:00,2024-12-05 12:05:00,BEAR_CALL,24406.55,24400,24900,276.45,72.75,297.35,85.6,203.7,211.75000000000003,-8.05000000000004,-1569.7500000000077,227.1898818545,-1796.9398818545078,Reversal,2024-12-12,0,False,True,633987,99660,109626,30508,95186,15.7
2024-12-05 12:05:00,2024-12-05 14:50:00,BULL_PUT,24516.75,24500,24000,263.64,96.35,130.1,43.65,167.29,86.44999999999999,80.84,15763.800000000001,199.4047589162,15564.395241083801,Reversal,2024-12-12,0,False,True,632190,100110,110121,30646,95615,15.8
2024-12-05 14:50:00,2024-12-10 15:05:00,BEAR_CALL,24624.8,24600,25100,321.45,81.4,111.35,9.65,240.04999999999998,101.69999999999999,138.35,26978.25,203.03973592550003,26775.2102640745,Reversal,2024-12-12,5,True,True,647754,100551,110606,30781,96037,15.5
2024-12-10 15:05:00,2024-12-12 12:00:00,BULL_PUT,24620.3,24600,24100,121.4,9.35,43.4,1.55,112.05000000000001,41.85,70.20000000000002,13689.000000000004,133.08853699099998,13555.911463009004,Reversal,2024-12-12,2,True,False,674529,69758,76733,0,96019,10.3
2024-12-12 12:00:00,2024-12-13 11:30:00,BEAR_CALL,24574.0,24550,25050,221.2,36.35,86.3,12.3,184.85,74.0,110.85,21615.75,169.84882847449998,21445.9011715255,Reversal,2024-12-19,1,True,True,688085,100344,110378,30717,95839,14.6
